Date,Title,Teaser,Date_Link
21.04.2020,Das Leben geht weiter – wir dürfen uns von diesem Virus nicht länger paralysieren lassen,False,22.04.2020
21.04.2020,Öffentlicher Verkehr baut Angebot ab 27. April wieder aus – die neusten Entwicklungen zum Coronavirus in der Schweiz,False,22.04.2020
21.04.2020,Wie Ursula von der Leyen den Schengenraum nach der Coronavirus-Krise wiederbeleben will,False,22.04.2020
21.04.2020,Die EU-Kommissionspräsidentin spielt in der Pandemie nur eine Nebenrolle,False,22.04.2020
21.04.2020,"Darf man im Corona-Sommer in die Ferien? Und wenn ja, wohin?",False,22.04.2020
21.04.2020,"Wahrer Luxus sind nicht Ferien weit weg, sondern sein Schicksal nach der Krise selbst in die Hand zu nehmen",False,22.04.2020
22.04.2020,"Besatzung von Kreuzfahrtschiff in japanischer Werft infiziert, Quest Diagnostics beginnt mit Antikörpertests – die neusten Entwicklungen zum Coronavirus weltweit",False,22.04.2020
21.04.2020,"In der Schweiz sterben mehr Menschen als erwartet, doch die Zahl geht zurück – und alles Weitere zum Coronavirus in 24 Grafiken",False,22.04.2020
21.04.2020,"Der Bund will wegen der Corona-Krise mehr Hilfe in überfüllten Flüchtlingscamps leisten, statt Asylsuchende in die Schweiz zu holen","Die Schweiz spricht zusätzliche Gelder für Hilfsorganisationen. Zudem will sie bis Mitte Mai 22 minderjährige Asylsuchende aus Griechenland übernehmen. Die Forderung, auch andere Geflüchtete zu evakuieren, lehnt der Bund aber ab – mit der Begründung, in Griechenland herrsche derzeit keine Krise.",21.04.2020
21.04.2020,"«Einen Zwei-Meter-Abstand kann man in Flugzeugen nicht einfordern», sagt Flughafen-Chef Stephan Widrig",False,21.04.2020
21.04.2020,Das Leben geht weiter – wir dürfen uns von diesem Virus nicht länger paralysieren lassen,False,21.04.2020
21.04.2020,"Die Corona-App des BAG soll im Mai kommen, Aargauer Regierung will alle Läden öffnen, Infektionszahlen sind rückläufig – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,21.04.2020
21.04.2020,Nach 221 Jahren könnte Luzern wieder zur Hauptstadt der Schweiz werden – wenn auch nur für 21 Tage,False,21.04.2020
21.04.2020,Hersteller von Beatmungsgeräten profitieren nur vermeintlich von der Corona-Krise – bald kommt die Flaute,False,21.04.2020
21.04.2020,Das Münchner Oktoberfest findet nicht statt – «das Risiko wäre zu hoch»,False,21.04.2020
21.04.2020,"Restaurants sollen in Österreich ab 15. Mai wieder öffnen, auch Gottesdienste dürfen stattfinden, Trump will Einwanderung in die USA vorübergehend aussetzen – die neusten Entwicklungen zum Coronavirus weltweit",False,21.04.2020
21.04.2020,"In der Schweiz sterben mehr Menschen als erwartet, doch die Zahl geht zurück – und alles Weitere zum Coronavirus in 24 Grafiken",False,21.04.2020
20.04.2020,Der Weg zurück in die Schule nach dem Corona-Lockdown ist mit vielen Hindernissen verstellt,"Können Kinder Abstandsregeln einhalten? Diese und andere Fragen stellen besorgte Eltern und Lehrer vor der Wiederaufnahme des Präsenzunterrichts am 11. Mai. Dänemark zeigt, dass keineswegs alles reibungslos funktionieren wird.",20.04.2020
20.04.2020,«Nicht benotet»: Die Schüler der Zürcher Volksschule erhalten wegen der Corona-Krise keine Zeugnisnoten – das sind die Folgen,False,20.04.2020
20.04.2020,Schule ohne Noten: Der Traum vieler Kinder wird zur Herausforderung für Politik und Gewerbe,False,20.04.2020
20.04.2020,"Berset: Restaurants und Bars könnten im Juni wieder öffnen, Infektionszahlen weiter rückläufig – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,20.04.2020
20.04.2020,Corona macht den Süchtigen Stress – wie das Virus die Schweizer Drogenszenen auf den Kopf stellt,False,20.04.2020
20.04.2020,"Am Ende der Krise zählt die Leistung der Politik, nicht das Geschwätz der Populisten",False,20.04.2020
20.04.2020,"Zahl der Toten in Frankreich steigt auf über 20 000, Virologe Fauci warnt Protestierende in den USA vor schneller wirtschaftlicher Normalisierung – die neusten Entwicklungen zum Coronavirus weltweit",False,20.04.2020
